,,,,,,
,Tilbury,coal/oil,"1,029",1968,,
,Didcot A,coal/gas,"1,940",1972,,
,Aberthaw GT,gas oil,51,1971,,
,Cowes ,gas oil,70,1982,,
,Didcot GT,gas oil,100,1972,,
,Fawley GT,gas oil,34,1969,,
,Littlebrook GT,gas oil,105,1982,,
,Tilbury GT,gas oil,34,1968,,
,Fawley (5),oil,484,1969,,
,Littlebrook D ,oil,"2,055",1982,,
,Didcot B,CCGT,"1,370",1998,,
,Little Barford,CCGT,665,1995,,
,Cwm Dylan,hydro,10,  2002 (3),,
,Dolgarrog,hydro,18,  2002 (3),,
,Dolgarrog Low Head,hydro,15,1926/2002,,
,,,,,,
Scottish & Southern Energy plc,,,,,,
   Hydro Schemes:,,,,,,
     Affric/Beauly,Mullardoch Tunnel,hydro,2.4,1955,,
,Fasnakyle,hydro,69,1951,,
,Deanie,hydro,38,1963,,
,Culligran,hydro,19,1962,,
,Aigas,hydro,20,1962,,
,Kilmorack,hydro,20,1962,,
,,,,,,
     Breadalbane,Lubreoch,hydro,4,1958,,
,Cashlie,hydro,11,1959,,
,Lochay,hydro,47,1958,,
,Finlarig,hydro,17,1955,,
,Lednock,hydro,3,1961,,
,St. Fillans,hydro,17,1957,,
,Dalchonzie,hydro,4,1958,,
,,,,,,
     Conon,Achanalt,hydro,3,1956,,
,Grudie Bridge,hydro,19,1950,,
,Mossford,hydro,19,1957,,
,Luichart,hydro,34,1954,,
,Orrin,hydro,18,1959,,
,Torr Achilty,hydro,15,1954,,
   Hydro Schemes (continued),,,,,,
     Foyers,Foyers,hydro/pumped storage,300,1974,,
,,,,,,
     Great Glen,Foyers Falls,hydro,5,1968,,
,Mucomir,hydro,2,1962,,
,Ceannacroc,hydro,20,1956,,
,Livishie,hydro,15,1962,,
,Glenmoriston,hydro,37,1957,,
,Quoich,hydro,19,1955,,
,Ivergarry,hydro,20,1956,,
,Fort William,hydro,4,2005,,
,,,,,,
     Shin,Cassley,hydro,10,1959,,
,Lairg,hydro,4,1959,,
,Shin,hydro,19,1958,,
,,,,,,
     Sloy/Awe,Sloy,hydro,153,1950,,
,Sron Mor,hydro,5,1957,,
,Clachan,hydro,40,1955,,
,Alt-na-Lairgie,hydro,6,1956,,
,Nant,hydro,15,1963,,
,Inverawe,hydro,25,1963,,
,Kilmelford,hydro,2,1956,,
,Loch Gair,hydro,6,1961,,
,Lussa,hydro,2,1952,,
,Striven,hydro,8,1951,,
,,,,,,
     Tummel,Gaur,hydro,8,1953,,
,Cuaich,hydro,3,1959,,
,Loch Ericht,hydro,2,1962,,
,Rannoch,hydro,44,1930,,
,Tummel,hydro,34,1933,,
,Errochty,hydro,75,1955,,
,Clunie,hydro,61,1950,,
,Pitlochry,hydro,15,1950,,
,,,,,,
   Wind,Spurness,wind,8,2004,,
,Tangy,wind,13,2002,,
,,,,,,
   Small Hydros:,Chliostair,hydro,1,1960,,
,Kerry Falls,hydro,1,1951,,
,Loch Dubh,hydro,1,1954,,
,Nostie Bridge,hydro,1,1950,,
,Storr Lochs,hydro,2,1952,,
,Cuileag,hydro,3,2002,,
,,,,,,
   Thermal:,Peterhead (6),CCGT oil/gas,"1,540",1980,,
,Medway,CCGT,688,1995,,
,Fife Power Station,CCGT,120,2000,,
,Keadby,CCGT,745,1994,,
,Ferrybridge,coal/biomass co-fired,"1,955",1966,,
,Fiddler's Ferry,coal/biomass co-fired,"1,961",1971,,
,Ferrybridge,gas oil,34,1966,,
,Fiddler's Ferry,gas oil,34,1969,,
,Chickerell,gas,45,1998,,
,Burghfield,gas,45,1998,,
